dealer_name,city,county,address,telefon,email,luni,marti,miercuri,joi,vineri,sambata,duminica,latitudine,longitudine,profil_magazin,cod_postal
Magazin Vodafone - Bucuresti Unirea,Bucuresti,Bucuresti,"Splaiul Independentei, nr.1, bl.16, parter",729953632,vodafonebucurestiunirea_ro@vodafone.com,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 15:00, - ,44.428639,26.100506,magazin la strada,030119
Magazin Vodafone - Bucuresti Piata Vitan,Bucuresti,Bucuresti,"Calea Vitan nr.23D, Sector 3",723175089,VodafoneStoreBucurestiPiataVitan_ro@vodafone.com,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 13:00,- - -,44.42227,26.12425,magazin la strada,031281
Magazin Vodafone - Bucuresti Vitan Auchan,Bucuresti,Bucuresti,"Calea Vitan nr.236, Complex Comercial Auchan, Sector 3",0733237426,VodafoneStoreBucurestiRealVitan_ro@vodafone.com,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,44.40839,26.13941,magazin in magazin (mall),031303
Magazin Vodafone - Bucuresti Auchan Titan,Bucuresti,Bucuresti,"Bd.1 Decembrie 1918 nr.33A, Complex Comercial Iris Auchan Titan, Sector 3",726114982,VodafoneStoreAuchan_ro@vodafone.com,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,44.42085,26.17819,magazin in magazin (mall),032533
Magazin Vodafone - Bucuresti City Mall,Bucuresti,Bucuresti,"Sos.Oltenitei nr.2, Complex Comercial City Mall, Sector 4",733237426,VodafoneStoreBucharest-5_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 15:00,- - -,44.40161,26.09794,magazin in magazin (mall),040651
Magazin Vodafone - Bucuresti Giurgiului,Bucuresti,Bucuresti,"Sos.Giurgiului nr.127, Sector 4",0730708367,SayfoneBGiurgiului_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 15:00,- - -,44.37981,26.09235,magazin la strada,040665
Magazin Vodafone - Bucuresti Berceni Auchan,Bucuresti,Sector 4,"Str.Drumul Dealul Bisericii, nr.67-109, Galeriile Auchan Berceni",736626265,FranchiseStoreBucurestiBerceniAuchan_ro@vodafone.c,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,44.36089,26.12257,magazin in magazin (mall),042157
Magazin Vodafone - Bucuresti Kaufland Sebastian,Bucuresti,Sector 5,"Str.Sebastian nr.88, Complex Comercial Kaufland",722313268,FranchiseStoreBucurestiKauflandSebastian_ro@vodafo,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 20:00,44.41682,26.07096,magazin in magazin (mall),050784
Magazin Vodafone - Bucuresti Rahova,Bucuresti,Bucuresti,"Sos.Alexandriei nr.16, bl.L4, parter, Sector 5",730025919,VodafoneStoreRahova_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.40503,26.06144,magazin la strada,051533
Magazin Vodafone - Bucuresti Veteranilor,Bucuresti,Sector 6,"Bd.Iuliu Maniu nr.59, bl.10",721197670,FranchiseStoreBucurestiVeteranilor_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,inchis,44.43385,26.02566,magazin la strada,061109
Magazin Vodafone - Bucuresti Maniu,Bucuresti,Bucuresti,"Bd.Iuliu Maniu nr.160, bl.I, parter, Sector 6",0731034481,VdfStoreBucharest-9_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 15:00,- - -,44.43404,26.01569,magazin la strada,061088
Magazin Vodafone - Bucuresti Plaza Mall,Bucuresti,Bucuresti,"Bd.Timisoara nr.26, Complex Comercial Plaza Romania, et.1, Sector 6",724363080,VodafoneStoreBucharest-3_ro@vodafone.com,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.42839,26.03502,magazin in magazin (mall),061331
Magazin Vodafone - Bucuresti GBC,Bucuresti,Bucuresti,"Bd.Vasile Milea nr.4A, Global Business Center, Sector 6",721197670,VodafoneStoreBucharest-GBC_ro@vodafone.com,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,10:00 - 14:00,- - -,44.43559,26.05406,magazin la strada,061348
Magazin Vodafone - Bucuresti Ghencea,Bucuresti,Sector 6,"Bd.Ghencea nr.28, bl.C87, parter,",723582958,FranchiseStoreBucurestiGhencea_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,inchis,44.41564,26.04852,magazin la strada,061691
Magazin Vodafone - Constanta Arcade,Constanta,Constanta,"Sos.Mangaliei nr.195, Complex Comercial Auchan City, stand 5",0723671471,VodafoneStoreConstanta3_ro@vodafone.com,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,44.13421,28.62228,magazin in magazin (mall),900082
Magazin Vodafone - Constanta 1 Decembrie,Constanta,Constanta,"Bd.1 Decembrie 1918 nr.35, bl.L20, parter",722667299,franchiseStoreConstanta1Decembrie_ro@vodafone.com,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 15:00,inchis,44.17758,28.63566,magazin la strada,900169
Magazin Vodafone - Constanta City Mall,Constanta,Constanta,"Str.Alexandru Lapusneanu nr.116C, Complex Comercial City Mall",723671471,VodafoneStoreConstanta4_ro@vodafone.com,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.20314,28.63136,magazin in magazin (mall),900420
Magazin Vodafone - Constanta Tomis,Constanta,Constanta,"Bd.Tomis nr.216, bl.TD4A",723009300,VodafoneStoreConstanta2_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.19224,28.63893,magazin la strada,900652
Magazin Vodafone - Constanta,Constanta,Constanta,Str.Stefan cel Mare nr.57,730633544,VodafoneStoreConstanta_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.17794,28.64631,magazin la strada,900683
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Piata Gara de Nord nr.2, parter, Sector 1",724214485,ilex.garadenord@ilexgsm.ro,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 14:00,inchis,44.446706,26.07466,magazin la strada,010859
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Bd.Ion Mihalache nr.70-82, Sector 1",722925925,ilex.1mai@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.45991,26.07579,magazin la strada,011201
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Sos.Bucuresti-Ploiesti nr.44A, Sector 1",729106448,Feeria.carrefour.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.51026,26.08544,magazin in magazin (mall),015101
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Str.Maica Domnului nr.61, Sector 2",729218069,domino.bucuresti@arsis.ro,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 18:00,44.46159,26.1188,magazin in magazin (mall),020395
Magazin Vodafone - Bucuresti Mihai Bravu,Bucuresti,Sector 2,"Mihai Bravu nr.132, nr.107-119, bl.E1, sc.3-4",723399384,FranchiseStoreBucurestiMihaiBravu_ro@vodafone.com,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,inchis,44.410172,26.123727,magazin la strada,021313
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Sos.Mihai Bravu nr.288, bl.C3, parter, Sector 3",0724303457,ilex.buc_muncii@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.42875,26.13847,magazin la strada,030318
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Piata Unirii nr.1, Magazinul Unirea, parter, Sector 3",731790401,unirea.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.42865,26.10598,magazin in magazin (mall),030777
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Calea Vitan nr.55-59, Bucuresti Mall, Sector 3",723324422,mallvitan.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.41974,26.12665,magazin in magazin (mall),031281
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Bd.Liviu Rebreanu nr.12A, bl.K1, tronson B, Sector 3",0724242644,ilex.titan@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.42403,26.16328,magazin la strada,031786
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Bd.Theodor Pallady nr.1, bl.26, Sector 3",726336664,ilex.salajan@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.4073,26.1978,magazin la strada,032377
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Bd.1 Decembrie 1918 nr.33A, Sector 3",722260079,auchan.titan.bucuresti@arsis.ro,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,44.42068,26.17952,magazin in magazin (mall),032505
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Sos.Vergului nr.20, Complex Cora Pantelimon, Sector 3",726175075,cora.pantelimon.bucuresti@arsis.ro,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,44.43733,26.18641,magazin in magazin (mall),033091
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Calea Vacaresti nr.391, Mall Sun Plaza, Sector 4",727731801,cora.sunplaza.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.39575,26.12291,magazin in magazin (mall),040055
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Calea Rahovei nr.332, bl.43B, Sector 4",0731040253,ilex.rahova2@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.41134,26.07948,magazin la strada,041541
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Bd.Metalurgiei nr.12-18, Grand Arena Mall, Sector 4",733108270,grandarena.carrefour.bucuresti@arsis.ro,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,44.37257,26.11725,magazin in magazin (mall),041719
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Sos.Berceni nr.2, Complex Big Berceni, Sector 4",0726166906,ilex.big_berceni@ilexgsm.ro,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,09:30 - 18:00,09:30 - 14:00,44.39325,26.11982,magazin la strada,041914
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Calea 13 Septembrie nr.221-225, Complex Prosper Center, Sector 5",721330800,13septembrie.bucuresti@arsis.ro,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 18:00,09:00 - 17:00,44.42192,26.06994,magazin la strada,050695
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Calea Rahovei nr.321, bl.28, parter, Sector 5",0730709226,ilex.rahova@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,0 - ,44.4082,26.06695,magazin la strada,050904
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Str.Nasaud nr.97, Complex Nasaud Shopping Center, Spatiul 2.6, Sector 5",0726166907,ilex.nasaud@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.4126,26.08017,magazin la strada,052062
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Sos.Progresului nr.151-171, Liberty Center, Sector 5",733104317,liberty.mall.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.41548,26.0799,magazin in magazin (mall),052069
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Splaiul Independentei nr.210, Sector 6",722677988,orhideea2.carrefour.bucuresti@arsis.ro,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,44.44526,26.06246,stand in magazin / m,060073
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Complex Piata Crangasi, Sector 6",722457788,crangasi.bucuresti@arsis.ro,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 16:00,09:00 - 14:00,44.4534,26.05092,magazin in magazin (mall),060334
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Calea Crangasi nr.29, Sector 6",727735770,crangasi.complex@arsis.ro,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 13:00,44.45215,26.04734,magazin la strada,060787
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Complex Cora Lujerului, Sector 6",722506884,cora.lujerului.bucuresti@arsis.ro,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 21:30,44.43277,26.037,magazin in magazin /,061076
Partener autorizat - Ilex Com,Bucuresti,Bucuresti,"Bd.Iuliu Maniu nr.69, bl.5, Zona Piata Gorjului, Sector 6",0728979382,ilex.gorjului@ilexgsm.ro,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 19:30,09:00 - 14:00,- - -,44.43374,26.01604,magazin la strada,061087
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Bd.Timisoara nr.26, parter, Complex Plaza Romania, Sector 6",724308068,plaza.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.42284,26.03611,magazin in magazin (mall),061391
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Intersectia Bd.Timisoara si Bd.Vasile Milea, Sector 6",735011151,cotroceni.mall.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,11:00 - 23:00,11:00 - 23:00,44.43072,26.05161,magazin in magazin (mall),061429
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Str.Dr.Taberei nr.42-44, Complex Comercial Moghioros, Sector 6",729106451,arsis275@xnet.ro,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 18:00,09:00 - 17:00,44.42346,26.03512,magazin la strada,061443
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Bd.Iuliu Maniu nr.546-560, Complex Auchan Militari, Sector 6",732670374,auchan.militari.bucuresti@arsis.ro,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.44037,25.98185,magazin in magazin (mall),062396
Partener autorizat - Arsis Trading,Bucuresti,Bucuresti,"Sos.Bucuresti - Pitesti, Km 11.4Com.Chiajnailfov, Carrefour Militari",724306660,militari.carrefour.bucuresti@arsis.ro,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,44.43953,25.96033,magazin in magazin (mall),077040
Partener autorizat - Ilex Com,Constanta,Constanta,Str.Cismelei,0733105618,ilex.constanta_cismelei@ilexgsm.ro,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 14:00,- - -,44.20832,28.62276,magazin la strada,8900
Magazin Vodafone - Constanta Tomis,Constanta,Constanta,"Bd.Tomis nr.279, bl.T7, parter",723192002,FranchiseStoreConstantaTomis3_ro@vodafone.com,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 15:00,inchis,44.20006,28.62678,magazin la strada,900383
Partener autorizat - Arsis Trading,Constanta,Constanta,Bd.Tomis nr.401,729218941,constanta.carrefour@arsis.ro,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,09:00 - 22:00,44.21315,28.60474,magazin in magazin (mall),900497
Partener autorizat - Arsis Trading,Constanta,Constanta,Str.Mihai Viteazu nr.15,730714817,constanta.mihaiviteazu@arsis.ro,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 16:00, - ,44.17808,28.64649,magazin la strada,900682
Magazin Vodafone - Constanta Rascoalei,Constanta,Constanta,"Str.Rascoalei, nr.17",723192002,FranchiseStoreConstantaRascoalei_ro@vodafone.com,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 15:00,inchis,44.179539,28.649227,magazin la strada,900726
Magazin Vodafone - Bucuresti Promenada Mall,Bucuresti,Sector 1,"Calea Floreasca, nr.246B",721104660,RetailStoreBucurestiPromenadaMall_ro@vodafone.com,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,44.478547,26.103138,magazin in magazin (mall),014476
Magazin Vodafone - Bucuresti Lipscani,Bucuresti,Sector 3,"Str.Lipscani, nr.27",723844966,RetailStoreBucurestiLipscani_ro@vodafone.com,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,10:00 - 18:00,12:00 - 18:00,44.43226402,26.099266,magazin la strada,030032
Magazin Vodafone - Progresul,Bucuresti,Sector 4,"Sos.Giurgiului, nr.118, bl.12, parter (Vis-À-Vis de Piata Progresul)",728977029,FranchiseStoreBucurestiProgresul_ro@vodafone.com,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-15:00,,44.391145,26.092484,magazin la strada,040676
Magazin Vodafone - Bucuresti Mega Mall,Bucuresti,Sector 2,"Bd.Pierre de Coubertin, nr.3-5, Centrul Comercial Mega Mall, Etaj 1",0720123124,DL-RetailStoreBucurestiMegaMall@vodafone.com,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,44.44285,26.151897,store in store (mall),021901
Partener autorizat - Arsis Trading,Bucuresti,Sector 2,"Sos.Colentina, nr.426-426A, stand 14",723323388,carrefour.colentina.bucuresti@arsis.ro,9:00-22:00,9:00-22:00,9:00-22:00,9:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,44.478153,26.161415,magazin in magazin (mall),21195 
Partener autorizat - Arsis Trading,Bucuresti,Sector 2,"Sos.Colentina nr.2, parter, Magazin Bucur Obor",734302052,obor.bucuresti@arsis.ro,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-20:00,09:00-17:00,44.450799,26.126669,magazin in magazin (mall),021169
Partener autorizat - Arsis Trading,Bucuresti,Sector 6,"Str.Drumul Taberei, nr.96, bl.521",724308008,consi.confort.bucuresti@arsis.ro,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-18:00,09:00-17:00,44.4171,26.02054,magazin la strada,061934
Magazin Vodafone - Constanta City Kiosk,Constanta,Constanta,"Str.Alexandru Lapusneanu nr.116C, Complex Comercial City Mall",723671471,VodafoneConstantaKiosk_ro@vodafone.com ,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,44.20314,28.63136,magazin in magazin (mall),900420
Partener autorizat - Arsis Trading,Bucuresti,Sector 6,"Drumul Taberei, nr.80 - 82, bl.C16",722507310,molena.bucuresti@arsis.ro,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-18:00,09:00-17:00,44.422212,26.020922,magazin in magazin (mall),61369
Partener autorizat - Arsis Trading,Bucuresti,Sector 6,"Str.Brasov, nr.25",733775223,bucuresti.auchan.tricodava@arsis.ro,9:00 - 21.00,9:00 - 21.00,9:00 - 21.00,9:00 - 21.00,9:00 - 21.00,9:00 - 21.00,9:00 - 21.00,44.417568,26.033887,magazin in magazin (mall),61443
Partener autorizat - Arsis Trading,Bucuresti,Sector 1,"Sos.Chitilei, nr.284",724566033,bucuresti.carrefour.colosseum@arsis.ro,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,44.493218,26.015555,magazin in magazin (mall),12404
Partener autorizat - Arsis Trading,Bucuresti,Sector 5,"Sos.Alexandriei, nr.152, Spatiul Gf 17",725683230,bucuresti.cora.alexandriei@arsis.ro,9:00-22:00,9:00-22:00,9:00-22:00,9:00-22:00,9:00-22:00,9:00-22:00,9:00-22:00,44.399661,26.043824,magazin in magazin (mall),51532
Partener autorizat - Arsis Trading,Bucuresti,Sector 6,"Bvd.Constructorilor, nr.16A, Spatiul Pb 11",725683093,bucuresti.auchan.giulesti@arsis.ro,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,09:00 – 21:00,44.457591,26.040495,magazin in magazin (mall),060509
Partener autorizat - Arsis Trading,Bucuresti,Sector 4,Str.Mihail Sebastian nr.88,733504556,bucuresti.carrefour.vulcan@arsis.ro,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,10:00 – 22:00,44.417841,26.07299,magazin in magazin (mall),50784
Partener autorizat - Arsis Trading,Constanta,Constanta,"B-Dul.Aurel Vlaicu, nr.220, Incinta Complex Maritimo",724588468,constanta.auchan.maritimo@arsis.ro,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,44.198818,28.609509,magazin in magazin (mall),900498
